구별,관서명,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거,사건발생,인구수,CCTV,범죄발생비율,오차
중구,중부서,1,1,4,4,127,76,1198,574,1135,944,2465,133717,2001,1.2318840579710144,464
종로구,종로서,2,2,5,4,152,122,816,369,1248,1058,2223,156325,1729,1.2857142857142858,494
중구,남대문서,1,0,2,1,68,39,1004,476,786,688,1861,133717,2001,0.9300349825087456,-140
서대문구,서대문서,2,1,5,5,175,154,1226,600,1533,1258,2941,318550,2939,1.0006805035726438,2
종로구,혜화서,2,1,2,2,86,55,699,364,832,732,1621,156325,1729,0.9375361480624639,-108
용산구,용산서,3,3,3,4,272,237,999,544,2035,1821,3312,243142,2383,1.3898447335291648,929
성북구,성북서,2,2,0,0,117,75,442,259,737,674,1298,443999,3754,0.3457645178476292,-2456
동대문구,동대문서,6,6,10,9,168,143,1531,827,1975,1831,3690,352591,2315,1.593952483801296,1375
마포구,마포서,2,2,2,2,495,417,2190,917,2153,1832,4842,379506,2401,2.0166597251145357,2441
영등포구,영등포서,10,10,3,3,356,239,2409,1068,3039,2465,5817,402990,3773,1.5417439703153988,2044
성동구,성동서,6,5,9,10,133,96,970,511,1392,1214,2510,298230,3515,0.7140825035561877,-1005
동작구,동작서,4,2,1,1,251,110,1328,579,1816,1503,3400,398310,2262,1.5030946065428823,1138
광진구,광진서,4,5,6,5,273,213,1875,1008,1852,1584,4010,355820,2556,1.5688575899843507,1454
은평구,서부서,1,1,0,0,62,56,624,422,843,747,1530,478922,3660,0.4180327868852459,-2130
강북구,강북서,6,6,3,2,176,145,1229,664,2422,2204,3836,307080,2462,1.5580828594638505,1374
금천구,금천서,6,6,10,6,153,126,1157,615,1776,1588,3102,244273,2365,1.3116279069767443,737
중랑구,중랑서,10,10,4,5,138,108,1666,908,2447,2104,4265,396278,3285,1.2983257229832572,980
강남구,강남서,3,2,3,3,496,411,2003,878,2182,1877,4687,538352,6645,0.7053423626787058,-1958
관악구,관악서,13,10,10,11,408,335,2223,1085,2667,2363,5321,503490,4909,1.083927480138521,412
강서구,강서서,8,9,3,4,306,257,2050,1077,2555,2192,4922,583046,2437,2.019696347968814,2485
강동구,강동서,6,5,15,14,180,155,1650,907,2161,1873,4012,469235,2547,1.5751864939144091,1465
성북구,종암서,1,1,3,3,59,55,640,472,873,779,1576,443999,3754,0.41981885988279166,-2178
구로구,구로서,10,9,3,4,226,165,1916,965,2549,2145,4704,425854,4075,1.1543558282208588,629
서초구,서초서,4,4,7,5,563,376,1867,904,2141,1763,4582,424123,3730,1.2284182305630027,852
양천구,양천서,6,6,2,2,127,112,1477,634,1602,1369,3214,455444,3307,0.9718778348956758,-93
송파구,송파서,7,8,10,10,273,230,2416,1016,2989,2535,5695,665856,2743,2.0761939482318628,2952
노원구,노원서,4,4,3,3,184,158,1498,681,2461,2116,4150,521438,2282,1.8185801928133216,1868
서초구,방배서,1,1,0,0,53,36,403,214,495,441,952,424123,3730,0.2552278820375335,-2778
은평구,은평서,2,2,1,1,132,106,941,555,1271,1109,2347,478922,3660,0.6412568306010928,-1313
도봉구,도봉서,1,1,5,5,90,83,790,394,1224,1014,2110,323280,1356,1.556047197640118,754
강남구,수서서,2,1,2,3,170,151,967,461,1470,1276,2611,538352,6645,0.3929270127915726,-4034
