구별,총계,방범,"어린이
보호구역",공원·놀이터,"쓰레기
무단투기",시설안전·화재예방,교통단속,교통정보수집·분석,기타다른법령,인구수,남자 합계,여자 합계,CCTV비율
종로구,1729,1360,41,109,0,110,109,0,0,156325,75666,80659,0.11060291060291061
중구,2001,1180,75,165,62,62,290,8,159,133717,65289,68428,0.14964439824405273
용산구,2383,1740,164,154,0,0,252,0,73,243142,117978,125164,0.09800857112304744
성동구,3515,2834,0,177,151,15,338,0,0,298230,145183,153047,0.1178620527780572
광진구,2556,2011,301,98,71,5,70,0,0,355820,170942,184878,0.07183407340790288
동대문구,2315,1682,282,174,28,1,134,0,14,352591,173158,179433,0.06565680916415904
중랑구,3285,2872,141,141,11,54,66,0,0,396278,195339,200939,0.08289635054179137
성북구,3754,2489,400,192,359,108,183,23,0,443999,213363,230636,0.08454973997689184
강북구,2462,1831,319,187,0,32,93,0,0,307080,149315,157765,0.08017454734922497
도봉구,1356,747,188,135,119,77,90,0,0,323280,157318,165962,0.04194506310319228
노원구,2282,1245,260,402,127,111,137,0,0,521438,251331,270107,0.04376359221997629
은평구,3660,2335,697,399,0,123,106,0,0,478922,229117,249805,0.07642163024459098
서대문구,2939,1846,132,521,0,91,317,0,32,318550,151035,167515,0.09226181133260085
마포구,2401,1918,192,158,0,0,133,0,0,379506,177857,201649,0.06326645692031219
양천구,3307,2103,768,265,0,0,171,0,0,455444,223126,232318,0.07261046363548537
강서구,2437,1949,215,155,27,0,91,0,0,583046,280930,302116,0.04179773122532356
구로구,4075,2501,540,384,30,119,257,0,244,425854,211660,214194,0.09569007218436365
금천구,2365,1758,271,174,44,0,118,0,0,244273,124174,120099,0.09681790455760562
영등포구,3773,2758,264,175,53,7,516,0,0,402990,200275,202715,0.0936251519888831
동작구,2262,1615,394,127,19,59,43,0,5,398310,192202,206108,0.05678993748587783
관악구,4909,3226,417,282,157,642,185,0,0,503490,252036,251454,0.09749945381238952
서초구,3730,2232,332,170,0,215,781,0,0,424123,202943,221180,0.08794618542262504
강남구,6645,4525,775,496,0,104,593,0,152,538352,257569,280783,0.12343225250393794
송파구,2743,1518,311,543,0,77,294,0,0,665856,320975,344881,0.041195093233371775
강동구,2547,2084,232,159,0,0,72,0,0,469235,230520,238715,0.05427983846047289
